Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Market Cap,Vol Index
BFAM,BRIGHT HORIZONS FAMILY SOLUTIO COM,85.60,0,0.00%,<empty>,82.03,84.80,0,0,1.18,"4,949 M",38.97%
BFI,BURGERFI INTERNATIONAL INC COM,1.27,0,0.00%,<empty>,1.30,1.46,0,0,-4.43,30 M,152.84%
BFIIW,BURGERFI INTERNATIONAL INC WARRANT,.1250,0,0.00%,<empty>,.1091,.1432,0,0,<empty>,0,<empty>
BH,BIGLARI HOLDINGS INC COM CL B,206.03,0,0.00%,<empty>,179.93,233.70,0,0,23.37,639 M,<empty>
BH/A,BIGLARI HOLDINGS INC COM CL A,1009.94,0,0.00%,<empty>,882.04,1156.39,0,0,<empty>,0,<empty>
BHOOY,BOOHOO GROUP PLC ADR UNSPONSORED,10.67,0,0.00%,<empty>,8.10,12.70,0,0,-1.5,677 M,<empty>
BJRI,BJS RESTAURANTS INC COM,29.78,0,0.00%,<empty>,26.00,34.10,0,0,.26,701 M,59.03%
BKE,BUCKLE COM,30.71,0,0.00%,<empty>,30.00,32.50,0,0,4.87,"1,550 M",39.82%
BLD,TOPBUILD CORP COM,201.66,0,0.00%,<empty>,176.12,230.91,0,0,17.95,"6,403 M",39.75%
BLMN,BLOOMIN BRANDS INC COM,23.89,0,0.00%,<empty>,21.79,25.00,0,0,1.23,"2,085 M",40.44%
BMWYY,BAYERISCHE MOTOREN WERKE AG ADR SPONSORED,36.38,0,0.00%,<empty>,36.00,38.45,0,0,6.058,"72,415 M",<empty>
BMXC,BEMAX INC COM,.0500,0,0.00%,<empty>,.0205,.0499,0,0,<empty>,12 M,<empty>
BODY,THE BEACHBODY COMPANY INC COM CL A,.4858,0,0.00%,<empty>,.4600,.4900,0,0,-.48,155 M,208.10%
BODY/WS,THE BEACHBODY COMPANY INC WARRANT,.0404,0,0.00%,<empty>,.0360,.0463,0,0,<empty>,0,<empty>
BOMO,BOWMO INC COM,.0001,0,0.00%,<empty>,<empty>,.0007,0,0,<empty>,0,<empty>
BOOT,BOOT BARN HOLDINGS INC COM,67.62,0,0.00%,<empty>,66.00,77.43,0,0,5.62,"2,022 M",36.02%
BOWL,BOWLERO CORP COM CL A,11.46,0,0.00%,<empty>,11.30,11.74,0,0,-.42,"1,988 M",64.76%
BPZZF,BOSTON PIZZA ROYAL COM,11.90,0,0.00%,<empty>,11.92,12.55,0,0,.6956,256 M,<empty>
BRAG,BRAGG GAMING GROUP INC COM,3.39,0,0.00%,<empty>,3.12,3.89,0,0,-.1473,74 M,81.88%
BRAV,BRAVADA INTERNATIONAL LTD COM,.0015,0,0.00%,<empty>,.0009,.0015,0,0,<empty>,0,<empty>
BRGO,BERGIO INTL INC COM,.0040,0,0.00%,<empty>,.0030,.0050,0,0,274.3,0.05 M,<empty>
BRGOD,BERGIO INTL INC COM,.00635,0,0.00%,<empty>,.00580,.01370,0,0,274.3,0.08 M,<empty>
BROS,DUTCH BROS INC COM CL A,28.36,0,0.00%,<empty>,28.00,28.85,0,0,-.06,"1,647 M",51.81%
BSEFY,BENESSE HOLDINGS INC ADR UNSPONSORED,13.145,0,0.00%,<empty>,.010,902.230,0,0,.285,"1,268 M",<empty>
BSET,BASSETT FURNITURE COM,13.51,0,0.00%,<empty>,13.25,14.05,0,0,6.55,121 M,59.19%
BTBD,BT BRANDS INC COM,2.50,0,0.00%,<empty>,2.18,2.87,0,0,-.12,16 M,<empty>
BTBDW,BT BRANDS INC WARRANT,.1900,0,0.00%,<empty>,.1659,.9000,0,0,<empty>,0,<empty>
BTDPY,BARRATT DEVELOPMENTS ADR UNSPONSORED,11.48,0,0.00%,<empty>,11.33,11.60,0,0,1.297,"5,616 M",<empty>
BURBY,BURBERRY GROUP ADR,26.80,0,0.00%,<empty>,25.65,27.87,0,0,1.546,"10,136 M",<empty>
BURL,BURLINGTON STORES INC COM,150.46,0,0.00%,<empty>,135.60,158.41,0,0,3.75,"9,762 M",41.50%
BVH,BLUEGREEN VACATIONS HOLDING CO COM,28.58,0,0.00%,<empty>,24.96,32.73,0,0,3.19,487 M,45.45%
BVHBB,BLUEGREEN VACATIONS HOLDING CO COM CL B,30.00,0,0.00%,<empty>,19.75,278.00,0,0,3.19,511 M,<empty>
BWMG,BROWNIES MARINE GROUP INC COM,.0190,0,0.00%,<empty>,.0100,.0230,0,0,-.0043,8.3 M,<empty>
BWMX,BETTERWARE DE MXICO SAPI DE C COM,12.099,0,0.00%,<empty>,10.56,12.21,0,0,1.08,451 M,66.17%
BYDDF,BYD COMPANY LIMITED COM,30.20,0,0.00%,<empty>,29.90,30.36,0,0,.983,"87,917 M",<empty>
BYDDY,BYD COMPANY LIMITED ADR UNSPONSORED,60.33,0,0.00%,<empty>,59.20,60.50,0,0,1.966,"87,815 M",<empty>
BZH,BEAZER HOMES USA INC COM,20.27,0,0.00%,<empty>,19.55,21.60,0,0,6.51,635 M,44.21%
CAL,CALERES INC COM,17.26,0,0.00%,<empty>,15.07,19.77,0,0,4.92,626 M,71.01%
CALIQ,CHINA AUTO LOGISTICS COM,.0001,0,0.00%,<empty>,<empty>,<empty>,0,0,-.34,0,<empty>
CANG,CANGO INC ADR,1.17,0,0.00%,<empty>,1.14,1.20,0,0,-1.162,158 M,<empty>
CATG,CAPSTONE TECH GRP INCORP COM,5.00,0,0.00%,<empty>,1.16,5.49,0,0,<empty>,2 M,<empty>
CATO,CATO CORP COM CL A,8.06,0,0.00%,<empty>,7.80,9.23,0,0,-.2379,163 M,++
CAVR,CAVU RESOURCES INC COM,.0035,0,0.00%,<empty>,.0010,.0095,0,0,<empty>,0,<empty>
CBKCQ,CHRISTOPHER & BANKS CORP COM,.0001,0,0.00%,<empty>,.0002,.0086,0,0,-1.27,0,<empty>
CBRL,CRACKER BARREL OLD COM,98.02,0,0.00%,<empty>,95.00,112.24,0,0,4.79,"2,171 M",47.77%
CCS,CENTURY COMMUNITIES COM,63.63,0,0.00%,<empty>,62.70,67.00,0,0,12.76,"2,038 M",39.20%
CDRO,CODERE ONLINE LUXEMBOURG COM,3.30,0,0.00%,<empty>,3.01,3.30,0,0,-1.084,149 M,<empty>
CDROW,CODERE ONLINE LUXEMBOURG WARRANT,.1050,0,0.00%,<empty>,.0917,.6299,0,0,<empty>,0,<empty>
CFRUY,RICHEMONT (CIE FIN) ADR UNSPONSORED,15.88,0,0.00%,<empty>,15.70,15.95,0,0,.0571,"90,548 M",<empty>
CGAC,CODE GREEN APPAREL CORP COM,.0003,0,0.00%,<empty>,.0001,.0010,0,0,-2.026,0,<empty>
CHDN,CHURCHILL DOWNS INC COM,135.82,0,0.00%,<empty>,130.00,155.52,0,0,7.215,"10,169 M",27.55%
CHGG,CHEGG INC COM,8.98,0,0.00%,<empty>,8.98,9.05,0,0,1.32,"1,075 M",53.98%
CHUY,CHUYS HOLDINGS INC COM,36.84,0,0.00%,<empty>,32.72,42.19,0,0,1.27,668 M,43.39%
CLAR,CLARUS CORPORATION COM,8.27,0,0.00%,<empty>,8.05,9.47,0,0,-1.98,308 M,67.61%
CLOW,CLOUDWEB INC COM,.05249,0,0.00%,<empty>,.02000,.12000,0,0,-.0033,1.5 M,<empty>
CMHZ,BANNY COSMIC INTL HLDGS INC COM,.0002,0,0.00%,<empty>,.0044,.0600,0,0,.0004,0.03 M,<empty>
CMPGY,COMPASS GROUP PLC ADR SPONSORED,27.31,0,0.00%,<empty>,27.25,27.38,0,0,.8847,"47,487 M",<empty>
CNTY,CENTURY CASINOS MANAGEMENT INC COM,6.79,0,0.00%,<empty>,6.60,7.25,0,0,.2,206 M,52.38%
CNVT,CVF TECHNOLOGIES CORP COM,.0200,0,0.00%,<empty>,.0200,.0390,0,0,<empty>,0.3 M,<empty>
COE,51TALK ONLINE EDUCATION GRP ADR,6.10,0,0.00%,<empty>,5.50,6.30,0,0,-4.8,35 M,<empty>
COFE,COFFEE INC COM,.0220,0,0.00%,<empty>,.0130,.0300,0,0,-.01,4.2 M,<empty>
COGNY,COGNA EDUCACAO SA ADR SPONSORED,.5852,0,0.00%,<empty>,.2300,.7617,0,0,-.0553,"1,093 M",<empty>
COLM,COLUMBIA SPORTSWEAR CO COM,73.83,0,0.00%,<empty>,64.48,84.54,0,0,4.66,"4,580 M",33.63%
COOK,TRAEGER INC COM,3.69,0,0.00%,<empty>,3.22,3.80,0,0,-3.04,457 M,76.95%
CORG,CORDIA CORP COM,.0251,0,0.00%,<empty>,.0290,.0590,0,0,-.05,0.34 M,<empty>
COUR,COURSERA INC COM,12.66,0,0.00%,<empty>,12.51,12.90,0,0,-1.16,"1,908 M",52.24%
CPHC,CANTERBURY PARK HLDGS CORP COM,22.895,0,0.00%,<empty>,19.99,24.96,0,0,1.74,112 M,<empty>
CRCT,CRICUT INC COM CL A,9.43,0,0.00%,<empty>,8.23,9.60,0,0,.21,"2,067 M",101.35%
CRI,CARTERS INC COM,62.17,0,0.00%,<empty>,54.29,71.19,0,0,5.63,"2,343 M",36.93%
CRMT,AMERICA'S CAR-MART INC COM,81.53,0,0.00%,<empty>,71.20,93.36,0,0,3.11,520 M,56.09%
CRWS,CROWN CRAFTS INC COM,5.15,0,0.00%,<empty>,5.10,5.31,0,0,.72,52 M,33.06%
CSV,CARRIAGE SERVICES INC COM,26.16,0,0.00%,<empty>,25.12,28.60,0,0,2.2,391 M,47.21%
CTHR,CHARLES & COLVARD COM,.9356,0,0.00%,<empty>,.9300,.9700,0,0,-.34,29 M,<empty>
CTRN,CITI TRENDS INC COM,14.62,0,0.00%,<empty>,12.76,16.74,0,0,2.77,122 M,66.47%
CULP,CULP INC COM,4.29,0,0.00%,<empty>,3.74,4.51,0,0,-2.68,53 M,66.93%
CURV,TORRID HOLDINGS INC COM,2.28,0,0.00%,<empty>,2.15,2.62,0,0,.48,237 M,111.20%
CVCO,CAVCO INDUSTRIES COM,248.98,0,0.00%,<empty>,217.44,280.00,0,0,26.95,"2,158 M",38.57%
CYRBY,CYRELA BRAZIL REALTY SA EMPREE ADR SPONSORED,3.839,0,0.00%,<empty>,2.300,27603.950,0,0,.4134,"1,439 M",<empty>
CZR,CAESARS ENTERTAINMENT INC NEW COM,41.01,0,0.00%,<empty>,40.05,41.59,0,0,-1.64,"8,826 M",56.31%
DALT,TWO RDS SHARED TRUST ANFIELD DIVERSIFIED ALTERNA,8.133,0,0.00%,<empty>,7.10,9.32,0,0,<empty>,0,<empty>
DBGI,DIGITAL BRANDS GROUP INC COM,.7344,0,0.00%,<empty>,.7000,.7600,0,0,8.78,4.4 M,<empty>
DBGIW,DIGITAL BRANDS GROUP INC WARRANT,4.29,0,0.00%,<empty>,3.74,4.92,0,0,<empty>,0,<empty>
DBI,DESIGNER BRANDS INC COM CL A,6.27,0,0.00%,<empty>,5.47,6.44,0,0,2.26,410 M,80.72%
DBOXF,D-BOX TECHNOLOGIES INC COM CL A,.0780,0,0.00%,<empty>,.0383,.5848,0,0,-.0022,17 M,<empty>
DECK,DECKERS OUTDOOR CORP COM,475.00,0,0.00%,<empty>,414.84,500.00,0,0,19.37,"12,426 M",33.72%
DEER,DEER CONSUMER PRODUCTS INC COM,.0002,0,0.00%,<empty>,.0016,.0300,0,0,<empty>,0.01 M,<empty>
DELHY,DELIVERY HERO SE ADR UNSPONSORED,3.71,0,0.00%,<empty>,.01,2004.92,0,0,-1.179,"9,545 M",<empty>
DENN,DENNY'S CORPORATION COM,11.07,0,0.00%,<empty>,9.66,12.00,0,0,.89,620 M,50.13%
DESP,DESPEGAR COM CORP COM,6.44,0,0.00%,<empty>,5.62,7.38,0,0,-.88,425 M,58.71%
DHCC,DIAMONDHEAD CASINO CORP COM,.3850,0,0.00%,<empty>,.3200,.3950,0,0,-.054,14 M,<empty>
DIAL,COLUMBIA ETF TR I DIVERSIFID FXD ETF,17.4922,0,0.00%,<empty>,15.27,20.03,0,0,<empty>,0,<empty>
DIIBF,DOREL INDUSTRIES COM CL B,3.1545,0,0.00%,<empty>,.0100,51.2200,0,0,-3.99,103 M,<empty>
DIT,AMCON DISTRIBUTING CO COM,219.50,0,0.00%,<empty>,191.70,224.00,0,0,26.2,134 M,<empty>
DKGR,UNIVERSAL APPAREL & TEXTILE CO COM,.0001,0,0.00%,<empty>,.0001,.0008,0,0,<empty>,0,<empty>
DLA,DELTA APPAREL INC COM,9.69,0,0.00%,<empty>,9.55,11.10,0,0,-.66,68 M,<empty>
DLVHF,DELIVERY HERO SE COM,40.215,0,0.00%,<empty>,.010,2045.600,0,0,-11.79,"10,347 M",<empty>
DNUT,KRISPY KREME INC COM,14.94,0,0.00%,<empty>,14.60,15.00,0,0,-.1219,"2,513 M",39.97%
DOGZ,DOGNESS INTL CORP COM,.7149,0,0.00%,<empty>,.7100,.7695,0,0,-.02,28 M,<empty>
DOOO,BRP INC COM,71.61,0,0.00%,<empty>,71.65,82.00,0,0,7.813,"5,633 M",41.10%
DPUKY,DOMINO'S PIZZA GROUP PLC ADR UNSPONSORED,6.95,0,0.00%,<empty>,.01,23210.50,0,0,.4577,"1,454 M",<empty>
DRFS,DR FOODS INC COM,.3500,0,0.00%,<empty>,.2735,.3500,0,0,<empty>,3.9 M,<empty>
DRI,DARDEN RESTAURANTS INC COM,158.52,0,0.00%,<empty>,157.50,162.00,0,0,7.64,"19,170 M",27.50%
DSHK,DRIVE SHACK INC COM,.2300,0,0.00%,<empty>,.2100,.3000,0,0,-.62,21 M,<empty>
DSHKN,DRIVE SHACK INC 8.375% PRF SER D USD25 *CLBL,2.97,0,0.00%,<empty>,1.49,3.25,0,0,<empty>,0,<empty>
DSHKO,DRIVE SHACK INC 8.05% PRF SER C USD25.00 *CLBL,2.97,0,0.00%,<empty>,2.70,4.50,0,0,<empty>,0,<empty>
DSHKP,DRIVE SHACK INC 9.75% PRFB USD25 *CLBL,2.92,0,0.00%,<empty>,2.60,3.35,0,0,<empty>,0,<empty>
DTC,SOLO BRANDS INC COM CL A,4.12,0,0.00%,<empty>,3.85,4.72,0,0,-.04,262 M,++
DTLIF,D2L INC COM,4.86,0,0.00%,<empty>,3.83,6.07,0,0,-.3027,259 M,<empty>
DUOL,DUOLINGO INC COM CL A,149.57,0,0.00%,<empty>,146.00,153.00,0,0,-1.26,"6,140 M",53.39%
DWIS,DINEWISE INC COM,.1299,0,0.00%,<empty>,.0001,.4000,0,0,<empty>,4.2 M,<empty>
DXLG,DESTINATION XL GROUP INC COM,4.16,0,0.00%,<empty>,3.85,4.70,0,0,1.24,262 M,++
DXYN,DIXIE GROUP INC COM CL A,.9519,0,0.00%,<empty>,.8313,1.0800,0,0,-2.22,15 M,225.08%
EAT,BRINKER INTERNATIONAL COM,36.58,0,0.00%,<empty>,35.00,38.09,0,0,1.98,"1,620 M",48.22%
ECOX,ECO INNOVATION GROUP INC COM,.0001,0,0.00%,<empty>,.0001,.0004,0,0,-.0346,0.11 M,<empty>
EDTK,SKILLFUL CRAFTSMAN EDUCATION T COM,1.50,0,0.00%,<empty>,1.31,1.61,0,0,-.2965,22 M,<empty>
EEGI,ELINE ENTERTAINMENT GROUP INC COM,.0005,0,0.00%,<empty>,.0004,.0005,0,0,0,4.3 M,<empty>
ELCR,ELECTRIC CAR COMPANY INC COM,.000001,0,0.00%,<empty>,.000100,.002300,0,0,<empty>,0.01 M,<empty>
ELEK,ELEKTROS INC COM,.0273,0,0.00%,<empty>,.0001,.2786,0,0,.07,1.8 M,<empty>
ELMSQ,ELECTRIC LAST MILE SOLUTIONS COM,.0650,0,0.00%,<empty>,.1170,.1200,0,0,<empty>,8.1 M,++
ELRA,ELRAY RESOURCES INC COM,.0004,0,0.00%,<empty>,.0004,.0005,0,0,-.0018,0.96 M,<empty>
ELUXY,ELECTROLUX AB ADR SPONSORED,26.28,0,0.00%,<empty>,26.04,30.10,0,0,-2.008,"3,548 M",<empty>
EM,SMART SHARE GLOBAL LTD ADR,.8189,0,0.00%,<empty>,.7500,.9377,0,0,-.3932,213 M,<empty>
EMXC,ISHARES INC MSCI EMRG CHN ETF,50.33,0,0.00%,<empty>,48.00,53.26,0,0,<empty>,0,30.91%
ESCA,ESCALADE INC COM,11.62,0,0.00%,<empty>,10.85,13.31,0,0,.75,160 M,67.68%
ESINQ,ITT EDUCATIONAL SERVICES INC COM,.0001,0,0.00%,<empty>,.0001,.0030,0,0,<empty>,0,<empty>
ESPGY,ESPRIT HOLDINGS LTD ADR SPONSORED,.1510,0,0.00%,<empty>,.1350,888.4500,0,0,-.0591,214 M,<empty>
ETD,ETHAN ALLEN INTERIORS INC COM,25.03,0,0.00%,<empty>,23.22,28.00,0,0,4.38,635 M,31.95%
EVCI,EVCI CAREER COLLEG COM,.1189,0,0.00%,<empty>,.1010,.2495,0,0,<empty>,0.61 M,<empty>
EVGOW,EVGO INC WARRANT  *CLBL,.5550,0,0.00%,<empty>,.4850,.6355,0,0,<empty>,0,<empty>
EVRI,EVERI HOLDINGS INC COM,13.90,0,0.00%,<empty>,13.50,14.00,0,0,1.23,"1,238 M",46.23%
EVTV,ENVIROTECH VEHICLES INC COM,2.10,0,0.00%,<empty>,1.84,2.40,0,0,-.6,32 M,111.36%
EVVTY,EVOLUTION AB ADR UNSPONSORED,131.96,0,0.00%,<empty>,125.73,136.90,0,0,4.335,"28,200 M",<empty>
EWCZ,EUROPEAN WAX CTR INC COM,17.33,0,0.00%,<empty>,15.13,18.00,0,0,.11,873 M,62.77%
EXPR,EXPRESS INC COM,.5704,0,0.00%,<empty>,.5700,.5748,0,0,3.44,42 M,100.13%
EZGO,EZGO TECHNOLOGIES LTD COM,1.47,0,0.00%,<empty>,1.31,1.49,0,0,-.48,77 M,<empty>
FAT,FAT BRANDS INC COM,5.945,0,0.00%,<empty>,5.25,6.81,0,0,-8.16,99 M,<empty>
FATBB,FAT BRANDS INC COM,5.50,0,0.00%,<empty>,5.15,6.30,0,0,-8.16,92 M,<empty>
FATBP,FAT BRANDS INC 8.25% CUM PRF STK SER B *CLBL,15.41,0,0.00%,<empty>,14.37,16.00,0,0,<empty>,0,<empty>
FCNE,FOUR CORNERS INC COM,2.06,0,0.00%,<empty>,1.84,2.25,0,0,<empty>,16 M,<empty>
FEDU,FOUR SEASONS EDU (CAYMAN) ADR,8.54,0,0.00%,<empty>,7.45,9.78,0,0,-3.222,18 M,<empty>
FFIEW,FARADAY FUTURE INTELLIGENT ELE WARRANT,.0530,0,0.00%,<empty>,.0510,.0590,0,0,<empty>,0,<empty>
FHSEY,FIRST HIGH-SCHOOL EDUCATION GR ADR,.1160,0,0.00%,<empty>,.0103,.2700,0,0,.1808,3.4 M,<empty>
FLL,FULL HOUSE RESORTS INC COM,7.10,0,0.00%,<empty>,6.20,7.89,0,0,-.7632,245 M,67.25%
FLXS,FLEXSTEEL INDUSTRIES INC COM,18.30,0,0.00%,<empty>,16.20,20.96,0,0,.82,94 M,<empty>
FND,FLOOR & DECOR HOLDINGS INC COM CL A,91.31,0,0.00%,<empty>,87.00,99.00,0,0,2.78,"9,704 M",40.03%
FNKO,FUNKO INC COM CL A,12.20,0,0.00%,<empty>,11.80,12.61,0,0,-1.6,618 M,73.26%
FOSL,FOSSIL GROUP INC COM,2.03,0,0.00%,<empty>,1.95,2.20,0,0,-1.24,106 M,83.49%
FRCOY,FAST RETAILING CO LTD ADR UNSPONSORED,23.35,0,0.00%,<empty>,19.10,25.78,0,0,.6664,"66,194 M",<empty>
FRGI,FIESTA RESTAURANT GROUP COM,7.19,0,0.00%,<empty>,7.08,8.24,0,0,-.61,187 M,49.37%
FRZA,FORZA X1 INC COM,1.2599,0,0.00%,<empty>,1.1700,1.4000,0,0,-.49,13 M,<empty>
FTDR,FRONTDOOR INC COM,30.83,0,0.00%,<empty>,26.92,31.80,0,0,1.12,"2,520 M",34.94%
